dataset_id,persona_id,statement,categories
conversation_0_user_1,6923e39f825f69f9024af3db4d61172f32be6787d9793aeca536454803094544,I am 32.,Personality_Traits
conversation_0_user_1,6923e39f825f69f9024af3db4d61172f32be6787d9793aeca536454803094544,I do not want a job.,Personal_Background
conversation_0_user_1,6923e39f825f69f9024af3db4d61172f32be6787d9793aeca536454803094544,I play video games all day.,Preferences_Interests
conversation_0_user_1,6923e39f825f69f9024af3db4d61172f32be6787d9793aeca536454803094544,I still live at home with my parents.,"Demographics, Personal_Background"
conversation_0_user_2,30abc4f31270384eb7be26d12a2e746f9dc4fb0c3dbe13fdcba7923eaa2f4547,My favorite drink is iced coffee.,Preferences_Interests
conversation_0_user_2,30abc4f31270384eb7be26d12a2e746f9dc4fb0c3dbe13fdcba7923eaa2f4547,I have a black belt in karate.,Uncategorized
conversation_0_user_2,30abc4f31270384eb7be26d12a2e746f9dc4fb0c3dbe13fdcba7923eaa2f4547,I m in a jazz band and play the saxophone.,Preferences_Interests
conversation_0_user_2,30abc4f31270384eb7be26d12a2e746f9dc4fb0c3dbe13fdcba7923eaa2f4547,I vacation along lake michigan every summer.,Preferences_Interests
conversation_1_user_1,7f8f76268e73b322e0b46f20f83d47d71078172dc596a7ee192b3f592cd368c7,I am 32.,Personality_Traits
conversation_1_user_1,7f8f76268e73b322e0b46f20f83d47d71078172dc596a7ee192b3f592cd368c7,I play video games all day.,Preferences_Interests
conversation_1_user_1,7f8f76268e73b322e0b46f20f83d47d71078172dc596a7ee192b3f592cd368c7,I still live at home with my parents.,"Demographics, Personal_Background"
conversation_1_user_1,7f8f76268e73b322e0b46f20f83d47d71078172dc596a7ee192b3f592cd368c7,I do not want a job.,Personal_Background
conversation_1_user_2,30011a7071122f7280b4c6c3c4bb5d1ba10d1296e23a9ac6acf7ddb80dbfe02d,I have a ford f150.,Uncategorized
conversation_1_user_2,30011a7071122f7280b4c6c3c4bb5d1ba10d1296e23a9ac6acf7ddb80dbfe02d,I like ford cars.,Preferences_Interests
conversation_1_user_2,30011a7071122f7280b4c6c3c4bb5d1ba10d1296e23a9ac6acf7ddb80dbfe02d,My truck is black.,Uncategorized
conversation_1_user_2,30011a7071122f7280b4c6c3c4bb5d1ba10d1296e23a9ac6acf7ddb80dbfe02d,I also like ford trucks.,Preferences_Interests
conversation_1_user_2,30011a7071122f7280b4c6c3c4bb5d1ba10d1296e23a9ac6acf7ddb80dbfe02d,I own a ford truck.,Uncategorized
conversation_2_user_1,8c7f6f68e28080c1c4aae98c6feb18d6a2d59ac98917c7cac3c1a42f185e7810,I am 32.,Personality_Traits
conversation_2_user_1,8c7f6f68e28080c1c4aae98c6feb18d6a2d59ac98917c7cac3c1a42f185e7810,I play video games all day.,Preferences_Interests
conversation_2_user_1,8c7f6f68e28080c1c4aae98c6feb18d6a2d59ac98917c7cac3c1a42f185e7810,I still live at home with my parents.,"Demographics, Personal_Background"
conversation_2_user_1,8c7f6f68e28080c1c4aae98c6feb18d6a2d59ac98917c7cac3c1a42f185e7810,I do not want a job.,Personal_Background
conversation_2_user_1,8c7f6f68e28080c1c4aae98c6feb18d6a2d59ac98917c7cac3c1a42f185e7810,I eat all take out.,Preferences_Interests
conversation_2_user_2,d62f3028459950f434e1a963d1398f103984d058ff4f94bd3a7ad6440c0a13f5,I can recite the movie young frankenstein word for word.,Preferences_Interests
conversation_2_user_2,d62f3028459950f434e1a963d1398f103984d058ff4f94bd3a7ad6440c0a13f5,I like to make my own clothes.,Preferences_Interests
conversation_2_user_2,d62f3028459950f434e1a963d1398f103984d058ff4f94bd3a7ad6440c0a13f5,I am partially blind.,Personality_Traits
conversation_2_user_2,d62f3028459950f434e1a963d1398f103984d058ff4f94bd3a7ad6440c0a13f5,I do volunteer work for human rights organizations.,Personal_Background
conversation_2_user_2,d62f3028459950f434e1a963d1398f103984d058ff4f94bd3a7ad6440c0a13f5,I can do convincing bird calls.,Uncategorized
conversation_3_user_1,d267d0ed0bda1c830b159da35fb29c7b5a034522614aa5932ef554c5bcb922a8,I write.,Uncategorized
conversation_3_user_1,d267d0ed0bda1c830b159da35fb29c7b5a034522614aa5932ef554c5bcb922a8,I work at mcdonald s.,Personal_Background
conversation_3_user_1,d267d0ed0bda1c830b159da35fb29c7b5a034522614aa5932ef554c5bcb922a8,I watch youtube videos.,Preferences_Interests
conversation_3_user_1,d267d0ed0bda1c830b159da35fb29c7b5a034522614aa5932ef554c5bcb922a8,I have brown hair.,Uncategorized
conversation_3_user_2,d70bf680d2cfc3fc763faac2bf3f9a0b75dcc6ae454fa15071cf882f015261c9,I want to move.,Goals_Aspirations
conversation_3_user_2,d70bf680d2cfc3fc763faac2bf3f9a0b75dcc6ae454fa15071cf882f015261c9,I don t like feeling controlled.,Personality_Traits
conversation_3_user_2,d70bf680d2cfc3fc763faac2bf3f9a0b75dcc6ae454fa15071cf882f015261c9,I wish i could take back a mistake.,Goals_Aspirations
conversation_3_user_2,d70bf680d2cfc3fc763faac2bf3f9a0b75dcc6ae454fa15071cf882f015261c9,I have a harsh inner critic.,Uncategorized
conversation_3_user_2,d70bf680d2cfc3fc763faac2bf3f9a0b75dcc6ae454fa15071cf882f015261c9,I don t like my reputation.,Preferences_Interests
conversation_4_user_1,4be7816a63f5704b101e44b9c3adf4f2f42647149882ef1f6d0610e91df4bdde,I am bald.,Personality_Traits
