dataset_id,persona_id,statement,categories
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I was a really good runner when I was younger.,Uncategorized
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I can jam. My wife likes to cook.,"Personal_Background, Preferences_Interests"
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I ran in high school.,Personal_Background
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I only eat meat.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I can jam.,Uncategorized
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I work during the week and have weekends off.,Personal_Background
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I like to whittle. I make figurines.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I race large felines who are in captivity to remain healthy.,Habits_Routines
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I only eat meat. Prime rib is my favorite meat.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I only eat meat. Prime rib is my favorite meat. I want to try jerk prime rib.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I am planning on running my first marathon. I have a personal goal to run a marathon in under 4 hours. I broke my ankle 5 days ago.,"Preferences_Interests, Goals_Aspirations"
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,My favorite hobbies are based on old fashioned life skills.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I like to do canning and whittling for hobbies.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,Prime rib is my favorite meat.,Preferences_Interests
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I am planning on running my first marathon. I have a personal goal to run a marathon in under 4 hours.,"Preferences_Interests, Goals_Aspirations"
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I chase cheetahs to stay in shape.,Uncategorized
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,"I can jam. My wife likes to cook. My wife occasionally makes mac and cheese, but it isn't the best.","Personal_Background, Preferences_Interests"
dialog_0_speaker_1,7d23e02433a78db6a817a2904761a20621d0f78469ea4570afe279972d626cb4,I am a carnivore.,Personality_Traits
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I enjoy bow hunting. I have hunted deer. I am hoping to hunt elk soon.,"Preferences_Interests, Personality_Traits"
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,"Jerk chicken with red beans and rice, macaroni and cheese are some of my favorite foods.",Preferences_Interests
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I love to redesign houses.,Personality_Traits
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I have a good mac and cheese recipe.,Preferences_Interests
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I remodel homes.,Uncategorized
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I shot an arrow the other day!.,Uncategorized
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I bow hunt. I remodel homes.,Uncategorized
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I like to hunt.,Preferences_Interests
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,I like to get dressed up.,Preferences_Interests
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,Killing for sport is my hobby.,Preferences_Interests
dialog_0_speaker_2,6547f38b7ff7f9f0a284d8123ecc9f22978dbf13cffecbf45c1d2c34af7442a9,Chicken and macaroni and cheese are some of my favorite foods.,Preferences_Interests
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,I enjoy computers and phones.,Preferences_Interests
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,I enjoy driving.,Preferences_Interests
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,I like game of thrones.,Preferences_Interests
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,I am a website designer. I spend a lot of time on the computer.,Personality_Traits
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,I love technology.,Personality_Traits
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,Jumping out of an airplane would be a thrill.,Uncategorized
dialog_1_speaker_1,da3a733330779748a374b9937aa236432d78cb0a0974de97e98f13d4f5711275,I'm selfish.,Personality_Traits
